sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,virus
10000,107,0.975,0.975,0.21,0.0721,0.0670296189309404,0.0771703810690596,0.900916907606183,0.8375,0.373831775700935,0.333333333333334,0.349746105919004,CMV
10000,107,0.975,0.975,0.22,0.0694,0.0644182303791651,0.0743817696208349,0.902441900598251,0.8375,0.373831775700935,0.333333333333334,0.350130841121496,CMV
10000,107,0.975,0.975,0.23,0.0655,0.0606501011223051,0.0703498988776949,0.903968700311054,0.8375,0.373831775700935,0.333333333333334,0.350515576323988,CMV
10000,107,0.975,0.975,0.24,0.0694,0.0644182303791651,0.0743817696208349,0.905497309957238,0.8375,0.373831775700935,0.333333333333334,0.35090031152648,CMV
10000,107,0.975,0.975,0.25,0.0634,0.0586231226971392,0.0681768773028608,0.907027732757068,0.8375,0.373831775700935,0.333333333333334,0.351285046728972,CMV
10000,107,0.975,0.975,0.26,0.0672,0.062292036933946,0.072107963066054,0.908559971938457,0.8375,0.373831775700935,0.333333333333334,0.351669781931465,CMV
10000,107,0.975,0.975,0.27,0.0666,0.061712425463965,0.071487574536035,0.910094030736981,0.8375,0.373831775700935,0.333333333333334,0.352054517133957,CMV
10000,107,0.975,0.975,0.28,0.0596,0.0549591041655498,0.0642408958344502,0.911629912395907,0.8375,0.373831775700935,0.333333333333334,0.352439252336449,CMV
10000,107,0.975,0.975,0.29,0.0621,0.057369070800863,0.066830929199137,0.913167620166215,0.8375,0.373831775700935,0.333333333333334,0.352823987538941,CMV
10000,107,0.975,0.975,0.3,0.0584,0.0538031320420106,0.0629968679579894,0.914707157306618,0.8375,0.373831775700935,0.333333333333334,0.353208722741433,CMV
10000,107,0.975,0.975,0.31,0.0625,0.0577548709568535,0.0672451290431465,0.916248527083589,0.8375,0.373831775700935,0.333333333333334,0.353593457943926,CMV
10000,107,0.975,0.975,0.32,0.0615,0.0567904753214838,0.0662095246785162,0.917791732771383,0.8375,0.373831775700935,0.333333333333334,0.353978193146418,CMV
10000,107,0.975,0.975,0.33,0.0587,0.0540920743757277,0.0633079256242723,0.919336777652057,0.8375,0.373831775700935,0.333333333333334,0.35436292834891,CMV
10000,107,0.975,0.975,0.34,0.0557,0.0512042208065648,0.0601957791934352,0.920883665015498,0.8375,0.373831775700935,0.333333333333334,0.354747663551402,CMV
10000,107,0.975,0.975,0.35,0.0611,0.0564048155811698,0.0657951844188302,0.922432398159442,0.8375,0.373831775700935,0.333333333333334,0.355132398753895,CMV
10000,107,0.975,0.975,0.36,0.06,0.055344547148801,0.064655452851199,0.923982980389503,0.8375,0.373831775700935,0.333333333333334,0.355517133956387,CMV
10000,107,0.975,0.975,0.37,0.0544,0.0499539375122817,0.0588460624877183,0.925535415019189,0.8375,0.373831775700935,0.333333333333334,0.355901869158879,CMV
10000,107,0.975,0.975,0.38,0.0543,0.0498577909767178,0.0587422090232822,0.927089705369933,0.8375,0.373831775700935,0.333333333333334,0.356286604361371,CMV
10000,107,0.975,0.975,0.39,0.0522,0.0478397038811817,0.0565602961188183,0.928645854771111,0.8375,0.373831775700935,0.333333333333334,0.356671339563863,CMV
10000,107,0.975,0.975,0.4,0.0515,0.0471674392322817,0.0558325607677183,0.93020386656007,0.8375,0.373831775700935,0.333333333333334,0.357056074766356,CMV
10000,107,0.975,0.975,0.41,0.0563,0.0517815076058473,0.0608184923941527,0.931763744082148,0.8375,0.373831775700935,0.333333333333334,0.357440809968848,CMV
10000,107,0.975,0.975,0.42,0.052,0.0476476058177303,0.0563523941822697,0.933325490690702,0.8375,0.373831775700935,0.333333333333334,0.35782554517134,CMV
10000,107,0.975,0.975,0.43,0.0519,0.047551563496316,0.056248436503684,0.93488910974713,0.8375,0.373831775700935,0.333333333333334,0.358210280373832,CMV
10000,107,0.975,0.975,0.44,0.0568,0.0522626900814769,0.0613373099185232,0.936454604620892,0.8375,0.373831775700935,0.333333333333334,0.358595015576324,CMV
10000,107,0.975,0.975,0.45,0.0547,0.0502424022785904,0.0591575977214096,0.93802197868954,0.8375,0.373831775700935,0.333333333333334,0.358979750778817,CMV
10000,107,0.975,0.975,0.46,0.0492,0.0449601595047309,0.0534398404952691,0.939591235338741,0.8375,0.373831775700935,0.333333333333334,0.359364485981309,CMV
10000,107,0.975,0.975,0.47,0.0513,0.0469754042868271,0.0556245957131729,0.941162377962296,0.8375,0.373831775700935,0.333333333333334,0.359749221183801,CMV
10000,107,0.975,0.975,0.48,0.0527,0.0483200267624635,0.0570799732375365,0.942735409962171,0.8375,0.373831775700935,0.333333333333334,0.360133956386293,CMV
10000,107,0.975,0.975,0.49,0.0503,0.0460155054753558,0.0545844945246442,0.944310334748518,0.8375,0.373831775700935,0.333333333333334,0.360518691588785,CMV
10000,107,0.975,0.975,0.5,0.0514,0.0470714194836002,0.0557285805163998,0.945887155739702,0.8375,0.373831775700935,0.333333333333334,0.360903426791278,CMV
10000,107,0.975,0.975,0.51,0.0456,0.0415105018383814,0.0496894981616186,0.947465876362324,0.8375,0.373831775700935,0.333333333333334,0.36128816199377,CMV
10000,107,0.975,0.975,0.52,0.0484,0.0441930022655904,0.0526069977344096,0.949046500051244,0.8375,0.373831775700935,0.333333333333334,0.361672897196262,CMV
10000,107,0.975,0.975,0.53,0.0498,0.0455357312762483,0.0540642687237517,0.95062903024961,0.8375,0.373831775700935,0.333333333333334,0.362057632398754,CMV
10000,107,0.975,0.975,0.54,0.0485,0.0442888797187993,0.0527111202812007,0.952213470408881,0.8375,0.373831775700935,0.333333333333334,0.362442367601247,CMV
10000,107,0.975,0.975,0.55,0.048,0.0438095421801178,0.0521904578198822,0.953799823988853,0.8375,0.373831775700935,0.333333333333334,0.362827102803739,CMV
10000,107,0.975,0.975,0.56,0.0473,0.0431386807678672,0.0514613192321328,0.95538809445768,0.8375,0.373831775700935,0.333333333333334,0.363211838006231,CMV
10000,107,0.975,0.975,0.57,0.0456,0.0415105018383814,0.0496894981616186,0.956978285291908,0.8375,0.373831775700935,0.333333333333334,0.363596573208723,CMV
10000,107,0.975,0.975,0.58,0.0445,0.040457800613535,0.048542199386465,0.958570399976489,0.8375,0.373831775700935,0.333333333333334,0.363981308411215,CMV
10000,107,0.975,0.975,0.59,0.047,0.04285124527609,0.05114875472391,0.960164442004818,0.8375,0.373831775700935,0.333333333333334,0.364366043613708,CMV
10000,107,0.975,0.975,0.6,0.0496,0.0453438548290495,0.0538561451709505,0.961760414878748,0.8375,0.373831775700935,0.333333333333334,0.3647507788162,CMV
10000,107,0.975,0.975,0.61,0.0431,0.0391189806087682,0.0470810193912318,0.963358322108626,0.8375,0.373831775700935,0.333333333333334,0.365135514018692,CMV
10000,107,0.975,0.975,0.62,0.0463,0.0421807441470074,0.0504192558529926,0.964958167213308,0.8375,0.373831775700935,0.333333333333334,0.365520249221184,CMV
10000,107,0.975,0.975,0.63,0.0428,0.038832238033608,0.046767761966392,0.966559953720194,0.8375,0.373831775700935,0.333333333333334,0.365904984423676,CMV
10000,107,0.975,0.975,0.64,0.0446,0.0405534731309844,0.0486465268690156,0.968163685165248,0.8375,0.373831775700935,0.333333333333334,0.366289719626169,CMV
10000,107,0.975,0.975,0.65,0.045,0.0409362187395099,0.0490637812604901,0.969769365093029,0.8375,0.373831775700935,0.333333333333334,0.366674454828661,CMV
10000,107,0.975,0.975,0.66,0.0456,0.0415105018383814,0.0496894981616186,0.97137699705671,0.8375,0.373831775700935,0.333333333333334,0.367059190031153,CMV
10000,107,0.975,0.975,0.67,0.0434,0.0394057758456914,0.0473942241543086,0.972986584618112,0.8375,0.373831775700935,0.333333333333334,0.367443925233645,CMV
10000,107,0.975,0.975,0.68,0.039,0.0352049598232374,0.0427950401767626,0.974598131347726,0.8375,0.373831775700935,0.333333333333334,0.367828660436138,CMV
10000,107,0.975,0.975,0.69,0.0427,0.0387366689691143,0.0466633310308857,0.976211640824739,0.8375,0.373831775700935,0.333333333333334,0.36821339563863,CMV
10000,107,0.975,0.975,0.7,0.0428,0.038832238033608,0.046767761966392,0.977827116637063,0.8375,0.373831775700935,0.333333333333334,0.368598130841122,CMV
10000,107,0.975,0.975,0.71,0.0405,0.036635686236514,0.044364313763486,0.97944456238136,0.8375,0.373831775700935,0.333333333333334,0.368982866043614,CMV
10000,107,0.975,0.975,0.72,0.0432,0.0392145731956611,0.0471854268043389,0.981063981663068,0.8375,0.373831775700935,0.333333333333334,0.369367601246106,CMV
10000,107,0.975,0.975,0.73,0.0445,0.040457800613535,0.048542199386465,0.982685378096431,0.8375,0.373831775700935,0.333333333333334,0.369752336448599,CMV
10000,107,0.975,0.975,0.74,0.0419,0.0379723316219183,0.0458276683780817,0.984308755304522,0.8375,0.373831775700935,0.333333333333334,0.370137071651091,CMV
10000,107,0.975,0.975,0.75,0.0418,0.0378768166552277,0.0457231833447723,0.98593411691927,0.8375,0.373831775700935,0.333333333333334,0.370521806853583,CMV
10000,107,0.975,0.975,0.76,0.0403,0.0364448378349479,0.0441551621650521,0.987561466581492,0.8375,0.373831775700935,0.333333333333334,0.370906542056075,CMV
10000,107,0.975,0.975,0.77,0.0376,0.0338709851722163,0.0413290148277837,0.989190807940916,0.8375,0.373831775700935,0.333333333333334,0.371291277258567,CMV
10000,107,0.975,0.975,0.78,0.0391,0.035300295212779,0.042899704787221,0.990822144656208,0.8375,0.373831775700935,0.333333333333334,0.37167601246106,CMV
10000,107,0.975,0.975,0.79,0.0412,0.0373038559868358,0.0450961440131642,0.992455480395002,0.8375,0.373831775700935,0.333333333333334,0.372060747663552,CMV
10000,107,0.975,0.975,0.8,0.0392,0.0353956373317899,0.0430043626682101,0.994090818833925,0.8375,0.373831775700935,0.333333333333334,0.372445482866044,CMV
10000,107,0.975,0.975,0.81,0.0388,0.0350143093320996,0.0425856906679004,0.995728163658626,0.8375,0.373831775700935,0.333333333333334,0.372830218068536,CMV
10000,107,0.975,0.975,0.82,0.0396,0.0357770726111043,0.0434229273888957,0.997367518563803,0.8375,0.373831775700935,0.333333333333334,0.373214953271028,CMV
10000,107,0.975,0.975,0.83,0.0395,0.0356817038195401,0.0433182961804599,0.999008887253232,0.8375,0.373831775700935,0.333333333333334,0.373599688473521,CMV
10000,107,0.975,0.975,0.84,0.0375,0.033775753797633,0.041224246202367,1.00065227343979,0.8375,0.373831775700935,0.333333333333334,0.373984423676013,CMV
10000,107,0.975,0.975,0.85,0.0392,0.0353956373317899,0.0430043626682101,1.0022976808455,0.8375,0.373831775700935,0.333333333333334,0.374369158878505,CMV
10000,107,0.975,0.975,0.86,0.0387,0.0349189942806707,0.0424810057193293,1.00394511320153,0.8375,0.373831775700935,0.333333333333334,0.374753894080997,CMV
10000,107,0.975,0.975,0.87,0.0394,0.0355863416596248,0.0432136583403752,1.00559457424824,0.8375,0.373831775700935,0.333333333333334,0.37513862928349,CMV
10000,107,0.975,0.975,0.88,0.0396,0.0357770726111043,0.0434229273888957,1.00724606773522,0.8375,0.373831775700935,0.333333333333334,0.375523364485982,CMV
10000,107,0.975,0.975,0.89,0.0396,0.0357770726111043,0.0434229273888957,1.0088995974213,0.8375,0.373831775700935,0.333333333333334,0.375908099688474,CMV
10000,107,0.975,0.975,0.9,0.0365,0.0328238377387649,0.0401761622612351,1.01055516707457,0.8375,0.373831775700935,0.333333333333334,0.376292834890966,CMV
10000,107,0.975,0.975,0.91,0.0384,0.0346330902073397,0.0421669097926603,1.01221278047245,0.8375,0.373831775700935,0.333333333333334,0.376677570093458,CMV
10000,107,0.975,0.975,0.92,0.0378,0.0340614692526124,0.0415385307473876,1.01387244140166,0.8375,0.373831775700935,0.333333333333334,0.377062305295951,CMV
10000,107,0.975,0.975,0.93,0.0374,0.0336805295699101,0.0411194704300899,1.01553415365831,0.8375,0.373831775700935,0.333333333333334,0.377447040498443,CMV
10000,107,0.975,0.975,0.94,0.038,0.0342519815941877,0.0417480184058123,1.01719792104789,0.8375,0.373831775700935,0.333333333333334,0.377831775700935,CMV
10000,107,0.975,0.975,0.95,0.0388,0.0350143093320996,0.0425856906679004,1.0188637473853,0.8375,0.373831775700935,0.333333333333334,0.378216510903427,CMV
10000,107,0.975,0.975,0.96,0.0393,0.0354909861555824,0.0431090138444176,1.02053163649489,0.8375,0.373831775700935,0.333333333333334,0.378601246105919,CMV
10000,107,0.975,0.975,0.97,0.0371,0.0333949000444742,0.0408050999555258,1.02220159221051,0.8375,0.373831775700935,0.333333333333334,0.378985981308412,CMV
10000,107,0.975,0.975,0.98,0.039,0.0352049598232374,0.0427950401767626,1.02387361837548,0.8375,0.373831775700935,0.333333333333334,0.379370716510904,CMV
10000,107,0.975,0.975,0.99,0.037,0.0332997046816883,0.0407002953183117,1.02554771884268,0.8375,0.373831775700935,0.333333333333334,0.379755451713396,CMV
10000,107,0.975,0.975,1,0.0378,0.0340614692526124,0.0415385307473876,1.02722389747456,0.8375,0.373831775700935,0.333333333333334,0.380140186915888,CMV
10000,107,0.975,0.975,0,0.0986,0.0927558734056208,0.104444126594379,0.538147431764453,0.646464646464646,0.925233644859813,0.888888888888889,0.869444444444444,EBV
10000,107,0.975,0.975,0.01,0.0934,0.0876956826847124,0.0991043173152876,0.539788699846119,0.646464646464646,0.925233644859813,0.888888888888889,0.869789719626168,EBV
10000,107,0.975,0.975,0.02,0.0973,0.0914903426062487,0.103109657393751,0.541438695284849,0.646464646464646,0.925233644859813,0.888888888888889,0.870134994807892,EBV
10000,107,0.975,0.975,0.03,0.0918,0.0861397649017319,0.0974602350982681,0.543097487877107,0.646464646464646,0.925233644859813,0.888888888888889,0.870480269989615,EBV
10000,107,0.975,0.975,0.04,0.0907,0.0850703730157984,0.0963296269842016,0.544765148165606,0.646464646464646,0.925233644859813,0.888888888888889,0.870825545171339,EBV
10000,107,0.975,0.975,0.05,0.0864,0.0808924645995195,0.0919075354004805,0.546441747449304,0.646464646464646,0.925233644859813,0.888888888888889,0.871170820353063,EBV
10000,107,0.975,0.975,0.06,0.0929,0.0872094031241925,0.0985905968758075,0.548127357793566,0.646464646464646,0.925233644859813,0.888888888888889,0.871516095534787,EBV
10000,107,0.975,0.975,0.07,0.0869,0.0813780630915672,0.0924219369084328,0.549822052040492,0.646464646464646,0.925233644859813,0.888888888888889,0.871861370716511,EBV
10000,107,0.975,0.975,0.08,0.0849,0.0794360023557778,0.0903639976442222,0.551525903819407,0.646464646464646,0.925233644859813,0.888888888888889,0.872206645898234,EBV
10000,107,0.975,0.975,0.09,0.0861,0.0806011319945749,0.0915988680054251,0.553238987557525,0.646464646464646,0.925233644859813,0.888888888888889,0.872551921079958,EBV
10000,107,0.975,0.975,0.1,0.0872,0.0816694485253228,0.0927305514746772,0.55496137849079,0.646464646464646,0.925233644859813,0.888888888888889,0.872897196261682,EBV
10000,107,0.975,0.975,0.11,0.0858,0.0803098193723056,0.0912901806276944,0.556693152674884,0.646464646464646,0.925233644859813,0.888888888888889,0.873242471443406,EBV
10000,107,0.975,0.975,0.12,0.0812,0.0758455990566039,0.0865544009433961,0.558434386996427,0.646464646464646,0.925233644859813,0.888888888888889,0.87358774662513,EBV
10000,107,0.975,0.975,0.13,0.0806,0.0752636764800769,0.0859363235199231,0.560185159184355,0.646464646464646,0.925233644859813,0.888888888888889,0.873933021806853,EBV
10000,107,0.975,0.975,0.14,0.0805,0.0751666978630203,0.0858333021369797,0.561945547821487,0.646464646464646,0.925233644859813,0.888888888888889,0.874278296988577,EBV
10000,107,0.975,0.975,0.15,0.076,0.0708052438921654,0.0811947561078346,0.563715632356279,0.646464646464646,0.925233644859813,0.888888888888889,0.874623572170301,EBV
10000,107,0.975,0.975,0.16,0.0732,0.0680941161196009,0.0783058838803991,0.565495493114777,0.646464646464646,0.925233644859813,0.888888888888889,0.874968847352025,EBV
10000,107,0.975,0.975,0.17,0.0776,0.0723553937471562,0.0828446062528438,0.567285211312777,0.646464646464646,0.925233644859813,0.888888888888889,0.875314122533748,EBV
10000,107,0.975,0.975,0.18,0.0757,0.0705146652679981,0.0808853347320019,0.569084869068166,0.646464646464646,0.925233644859813,0.888888888888889,0.875659397715472,EBV
10000,107,0.975,0.975,0.19,0.073,0.0679005460092536,0.0780994539907464,0.570894549413487,0.646464646464646,0.925233644859813,0.888888888888889,0.876004672897196,EBV
10000,107,0.975,0.975,0.2,0.0722,0.0671263773498259,0.0772736226501741,0.57271433630871,0.646464646464646,0.925233644859813,0.888888888888889,0.87634994807892,EBV
10000,107,0.975,0.975,0.21,0.069,0.0640315403577111,0.0739684596422889,0.574544314654216,0.646464646464646,0.925233644859813,0.888888888888889,0.876695223260644,EBV
10000,107,0.975,0.975,0.22,0.0657,0.0608432221430019,0.0705567778569981,0.576384570304002,0.646464646464646,0.925233644859813,0.888888888888889,0.877040498442367,EBV
10000,107,0.975,0.975,0.23,0.0646,0.0597812175228915,0.0694187824771086,0.578235190079106,0.646464646464646,0.925233644859813,0.888888888888889,0.877385773624091,EBV
10000,107,0.975,0.975,0.24,0.0679,0.0629683923027161,0.0728316076972839,0.580096261781259,0.646464646464646,0.925233644859813,0.888888888888889,0.877731048805815,EBV
10000,107,0.975,0.975,0.25,0.0688,0.0638382133827859,0.0737617866172141,0.581967874206776,0.646464646464646,0.925233644859813,0.888888888888889,0.878076323987539,EBV
10000,107,0.975,0.975,0.26,0.0622,0.0574655156296822,0.0669344843703178,0.583850117160674,0.646464646464646,0.925233644859813,0.888888888888889,0.878421599169263,EBV
10000,107,0.975,0.975,0.27,0.0605,0.0558264331389891,0.0651735668610109,0.585743081471041,0.646464646464646,0.925233644859813,0.888888888888889,0.878766874350986,EBV
10000,107,0.975,0.975,0.28,0.0609,0.0562120070789108,0.0655879929210893,0.587646859003643,0.646464646464646,0.925233644859813,0.888888888888889,0.87911214953271,EBV
10000,107,0.975,0.975,0.29,0.0633,0.0585266366336084,0.0680733633663916,0.589561542676783,0.646464646464646,0.925233644859813,0.888888888888889,0.879457424714434,EBV
10000,107,0.975,0.975,0.3,0.0604,0.0557300486742888,0.0650699513257112,0.591487226476427,0.646464646464646,0.925233644859813,0.888888888888889,0.879802699896158,EBV
10000,107,0.975,0.975,0.31,0.0589,0.0542847214795296,0.0635152785204704,0.593424005471571,0.646464646464646,0.925233644859813,0.888888888888889,0.880147975077881,EBV
10000,107,0.975,0.975,0.32,0.0566,0.0520702051656744,0.0611297948343256,0.595371975829898,0.646464646464646,0.925233644859813,0.888888888888889,0.880493250259605,EBV
10000,107,0.975,0.975,0.33,0.0583,0.0537068255196558,0.0628931744803442,0.597331234833685,0.646464646464646,0.925233644859813,0.888888888888889,0.880838525441329,EBV
10000,107,0.975,0.975,0.34,0.0537,0.0492810005905122,0.0581189994094878,0.599301880896008,0.646464646464646,0.925233644859813,0.888888888888889,0.881183800623053,EBV
