sim,sample_size,sensitivity,specificity,misrate,p_chisq,p_fisher,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,107,0.975,0.975,0.44,0.0516,0.0581,0.936454604620892,0.8375,0.373831775700935,0.333333333333334,0.358595015576324,CMV
10000,107,0.975,0.975,0.45,0.0529,0.0611,0.93802197868954,0.8375,0.373831775700935,0.333333333333334,0.358979750778817,CMV
10000,107,0.975,0.975,0.46,0.0547,0.0607,0.939591235338741,0.8375,0.373831775700935,0.333333333333334,0.359364485981309,CMV
10000,107,0.975,0.975,0.47,0.0521,0.0574,0.941162377962296,0.8375,0.373831775700935,0.333333333333334,0.359749221183801,CMV
10000,107,0.975,0.975,0.48,0.0519,0.0576,0.942735409962171,0.8375,0.373831775700935,0.333333333333334,0.360133956386293,CMV
10000,107,0.975,0.975,0.49,0.0533,0.0599,0.944310334748518,0.8375,0.373831775700935,0.333333333333334,0.360518691588785,CMV
10000,107,0.975,0.975,0.5,0.0509,0.0575,0.945887155739702,0.8375,0.373831775700935,0.333333333333334,0.360903426791278,CMV
10000,107,0.975,0.975,0.51,0.0464,0.0518,0.947465876362324,0.8375,0.373831775700935,0.333333333333334,0.36128816199377,CMV
10000,107,0.975,0.975,0.52,0.0519,0.0587,0.949046500051244,0.8375,0.373831775700935,0.333333333333334,0.361672897196262,CMV
10000,107,0.975,0.975,0.53,0.0494,0.054,0.95062903024961,0.8375,0.373831775700935,0.333333333333334,0.362057632398754,CMV
10000,107,0.975,0.975,0.54,0.0496,0.0558,0.952213470408881,0.8375,0.373831775700935,0.333333333333334,0.362442367601247,CMV
10000,107,0.975,0.975,0.55,0.0457,0.0512,0.953799823988853,0.8375,0.373831775700935,0.333333333333334,0.362827102803739,CMV
10000,107,0.975,0.975,0.56,0.0439,0.0498,0.95538809445768,0.8375,0.373831775700935,0.333333333333334,0.363211838006231,CMV
10000,107,0.975,0.975,0.57,0.0485,0.0561,0.956978285291908,0.8375,0.373831775700935,0.333333333333334,0.363596573208723,CMV
10000,107,0.975,0.975,0.58,0.0446,0.0516,0.958570399976489,0.8375,0.373831775700935,0.333333333333334,0.363981308411215,CMV
10000,107,0.975,0.975,0.59,0.0459,0.0525,0.960164442004818,0.8375,0.373831775700935,0.333333333333334,0.364366043613708,CMV
10000,107,0.975,0.975,0.6,0.0436,0.0488,0.961760414878748,0.8375,0.373831775700935,0.333333333333334,0.3647507788162,CMV
10000,107,0.975,0.975,0.61,0.0454,0.0523,0.963358322108626,0.8375,0.373831775700935,0.333333333333334,0.365135514018692,CMV
10000,107,0.975,0.975,0.62,0.0468,0.0524,0.964958167213308,0.8375,0.373831775700935,0.333333333333334,0.365520249221184,CMV
10000,107,0.975,0.975,0.63,0.0461,0.0514,0.966559953720194,0.8375,0.373831775700935,0.333333333333334,0.365904984423676,CMV
10000,107,0.975,0.975,0.64,0.0424,0.0482,0.968163685165248,0.8375,0.373831775700935,0.333333333333334,0.366289719626169,CMV
10000,107,0.975,0.975,0.65,0.045,0.0509,0.969769365093029,0.8375,0.373831775700935,0.333333333333334,0.366674454828661,CMV
10000,107,0.975,0.975,0.66,0.0436,0.0495,0.97137699705671,0.8375,0.373831775700935,0.333333333333334,0.367059190031153,CMV
10000,107,0.975,0.975,0.67,0.0459,0.0501,0.972986584618112,0.8375,0.373831775700935,0.333333333333334,0.367443925233645,CMV
10000,107,0.975,0.975,0.68,0.0433,0.0496,0.974598131347726,0.8375,0.373831775700935,0.333333333333334,0.367828660436138,CMV
10000,107,0.975,0.975,0.69,0.0441,0.0491,0.976211640824739,0.8375,0.373831775700935,0.333333333333334,0.36821339563863,CMV
10000,107,0.975,0.975,0.7,0.0421,0.0477,0.977827116637063,0.8375,0.373831775700935,0.333333333333334,0.368598130841122,CMV
10000,107,0.975,0.975,0.71,0.0446,0.0503,0.97944456238136,0.8375,0.373831775700935,0.333333333333334,0.368982866043614,CMV
10000,107,0.975,0.975,0.72,0.0427,0.0473,0.981063981663068,0.8375,0.373831775700935,0.333333333333334,0.369367601246106,CMV
10000,107,0.975,0.975,0.73,0.0464,0.0518,0.982685378096431,0.8375,0.373831775700935,0.333333333333334,0.369752336448599,CMV
10000,107,0.975,0.975,0.74,0.0394,0.0459,0.984308755304522,0.8375,0.373831775700935,0.333333333333334,0.370137071651091,CMV
10000,107,0.975,0.975,0.75,0.0392,0.0447,0.98593411691927,0.8375,0.373831775700935,0.333333333333334,0.370521806853583,CMV
10000,107,0.975,0.975,0.76,0.038,0.0435,0.987561466581492,0.8375,0.373831775700935,0.333333333333334,0.370906542056075,CMV
10000,107,0.975,0.975,0.77,0.0405,0.0469,0.989190807940916,0.8375,0.373831775700935,0.333333333333334,0.371291277258567,CMV
10000,107,0.975,0.975,0.78,0.0396,0.0453,0.990822144656208,0.8375,0.373831775700935,0.333333333333334,0.37167601246106,CMV
10000,107,0.975,0.975,0.79,0.0405,0.0467,0.992455480395002,0.8375,0.373831775700935,0.333333333333334,0.372060747663552,CMV
10000,107,0.975,0.975,0.8,0.036,0.0426,0.994090818833925,0.8375,0.373831775700935,0.333333333333334,0.372445482866044,CMV
10000,107,0.975,0.975,0.81,0.0435,0.0494,0.995728163658626,0.8375,0.373831775700935,0.333333333333334,0.372830218068536,CMV
10000,107,0.975,0.975,0.82,0.0385,0.044,0.997367518563803,0.8375,0.373831775700935,0.333333333333334,0.373214953271028,CMV
10000,107,0.975,0.975,0.83,0.0407,0.0477,0.999008887253232,0.8375,0.373831775700935,0.333333333333334,0.373599688473521,CMV
10000,107,0.975,0.975,0.84,0.0383,0.0448,1.00065227343979,0.8375,0.373831775700935,0.333333333333334,0.373984423676013,CMV
10000,107,0.975,0.975,0.85,0.0374,0.0436,1.0022976808455,0.8375,0.373831775700935,0.333333333333334,0.374369158878505,CMV
10000,107,0.975,0.975,0.86,0.0394,0.0452,1.00394511320153,0.8375,0.373831775700935,0.333333333333334,0.374753894080997,CMV
10000,107,0.975,0.975,0.87,0.0403,0.0476,1.00559457424824,0.8375,0.373831775700935,0.333333333333334,0.37513862928349,CMV
10000,107,0.975,0.975,0.88,0.0372,0.044,1.00724606773522,0.8375,0.373831775700935,0.333333333333334,0.375523364485982,CMV
10000,107,0.975,0.975,0.89,0.0394,0.0447,1.0088995974213,0.8375,0.373831775700935,0.333333333333334,0.375908099688474,CMV
10000,107,0.975,0.975,0.9,0.038,0.0428,1.01055516707457,0.8375,0.373831775700935,0.333333333333334,0.376292834890966,CMV
10000,107,0.975,0.975,0.91,0.0368,0.0414,1.01221278047245,0.8375,0.373831775700935,0.333333333333334,0.376677570093458,CMV
10000,107,0.975,0.975,0.92,0.0386,0.0441,1.01387244140166,0.8375,0.373831775700935,0.333333333333334,0.377062305295951,CMV
10000,107,0.975,0.975,0.93,0.0405,0.0474,1.01553415365831,0.8375,0.373831775700935,0.333333333333334,0.377447040498443,CMV
10000,107,0.975,0.975,0.94,0.0422,0.0483,1.01719792104789,0.8375,0.373831775700935,0.333333333333334,0.377831775700935,CMV
10000,107,0.975,0.975,0.95,0.0372,0.0439,1.0188637473853,0.8375,0.373831775700935,0.333333333333334,0.378216510903427,CMV
10000,107,0.975,0.975,0.96,0.0399,0.0453,1.02053163649489,0.8375,0.373831775700935,0.333333333333334,0.378601246105919,CMV
10000,107,0.975,0.975,0.97,0.0362,0.0423,1.02220159221051,0.8375,0.373831775700935,0.333333333333334,0.378985981308412,CMV
10000,107,0.975,0.975,0.98,0.0388,0.0455,1.02387361837548,0.8375,0.373831775700935,0.333333333333334,0.379370716510904,CMV
10000,107,0.975,0.975,0.99,0.0337,0.0385,1.02554771884268,0.8375,0.373831775700935,0.333333333333334,0.379755451713396,CMV
