sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0.35,0.2535,0.244972410847094,0.262027589152906,1.40156496577501,1.62895622895623,0.082089552238806,0.127155172413793,0.111382205352548,PTPN22
10000,402,1,1,0.36,0.2573,0.248730628206175,0.265869371793825,1.39518662713411,1.62895622895623,0.082089552238806,0.127155172413793,0.110931549150798,PTPN22
10000,402,1,1,0.37,0.2428,0.234394723114538,0.251205276885462,1.38881475139624,1.62895622895623,0.082089552238806,0.127155172413793,0.110480892949048,PTPN22
10000,402,1,1,0.38,0.2425,0.23409825355898,0.25090174644102,1.38244932874349,1.62895622895623,0.082089552238806,0.127155172413793,0.110030236747298,PTPN22
10000,402,1,1,0.39,0.2295,0.22125672008932,0.23774327991068,1.37609034937782,1.62895622895623,0.082089552238806,0.127155172413793,0.109579580545548,PTPN22
10000,402,1,1,0.4,0.2268,0.218591008075751,0.235008991924249,1.36973780352103,1.62895622895623,0.082089552238806,0.127155172413793,0.109128924343798,PTPN22
10000,402,1,1,0.41,0.228,0.219775709270042,0.236224290729958,1.36339168141469,1.62895622895623,0.082089552238806,0.127155172413793,0.108678268142048,PTPN22
10000,402,1,1,0.42,0.2196,0.211484838280807,0.227715161719193,1.3570519733201,1.62895622895623,0.082089552238806,0.127155172413793,0.108227611940299,PTPN22
10000,402,1,1,0.43,0.2069,0.198959157158688,0.214840842841312,1.35071866951821,1.62895622895623,0.082089552238806,0.127155172413793,0.107776955738549,PTPN22
10000,402,1,1,0.44,0.2036,0.195706367684513,0.211493632315487,1.34439176030964,1.62895622895623,0.082089552238806,0.127155172413793,0.107326299536799,PTPN22
10000,402,1,1,0.45,0.1942,0.186445378142552,0.201954621857448,1.33807123601454,1.62895622895623,0.082089552238806,0.127155172413793,0.106875643335049,PTPN22
10000,402,1,1,0.46,0.1949,0.187134789850532,0.202665210149468,1.33175708697263,1.62895622895623,0.082089552238806,0.127155172413793,0.106424987133299,PTPN22
10000,402,1,1,0.47,0.1946,0.186839322950094,0.202360677049906,1.32544930354308,1.62895622895623,0.082089552238806,0.127155172413793,0.105974330931549,PTPN22
