sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0.29,0.3411,0.331806635009321,0.350393364990679,1.43997127090403,1.62895622895623,0.082089552238806,0.127155172413793,0.114086142563047,PTPN22
10000,402,1,1,0.3,0.3406,0.331309925989887,0.349890074010113,1.43355394754944,1.62895622895623,0.082089552238806,0.127155172413793,0.113635486361297,PTPN22
10000,402,1,1,0.31,0.33,0.320782423473228,0.339217576526772,1.42714314642557,1.62895622895623,0.082089552238806,0.127155172413793,0.113184830159547,PTPN22
10000,402,1,1,0.32,0.3344,0.325151694409287,0.343648305590713,1.42073885759417,1.62895622895623,0.082089552238806,0.127155172413793,0.112734173957797,PTPN22
10000,402,1,1,0.33,0.3093,0.300239397690733,0.318360602309267,1.41434107113722,1.62895622895623,0.082089552238806,0.127155172413793,0.112283517756047,PTPN22
10000,402,1,1,0.34,0.3138,0.304703502445041,0.322896497554959,1.40794977715678,1.62895622895623,0.082089552238806,0.127155172413793,0.111832861554298,PTPN22
10000,402,1,1,0.35,0.2961,0.287150535144079,0.305049464855921,1.40156496577501,1.62895622895623,0.082089552238806,0.127155172413793,0.111382205352548,PTPN22
10000,402,1,1,0.36,0.3038,0.29478463582164,0.31281536417836,1.39518662713411,1.62895622895623,0.082089552238806,0.127155172413793,0.110931549150798,PTPN22
10000,402,1,1,0.37,0.294,0.285069034815489,0.302930965184511,1.38881475139624,1.62895622895623,0.082089552238806,0.127155172413793,0.110480892949048,PTPN22
10000,402,1,1,0.38,0.2839,0.275061228355524,0.292738771644476,1.38244932874349,1.62895622895623,0.082089552238806,0.127155172413793,0.110030236747298,PTPN22
10000,402,1,1,0.39,0.2758,0.267039099019198,0.284560900980802,1.37609034937782,1.62895622895623,0.082089552238806,0.127155172413793,0.109579580545548,PTPN22
10000,402,1,1,0.4,0.2621,0.253479059528033,0.270720940471967,1.36973780352103,1.62895622895623,0.082089552238806,0.127155172413793,0.109128924343798,PTPN22
10000,402,1,1,0.41,0.2568,0.24823607725606,0.26536392274394,1.36339168141469,1.62895622895623,0.082089552238806,0.127155172413793,0.108678268142048,PTPN22
10000,402,1,1,0.42,0.2583,0.24971977407768,0.26688022592232,1.3570519733201,1.62895622895623,0.082089552238806,0.127155172413793,0.108227611940299,PTPN22
