sim,sample_size,sensitivity,specificity,misrate,p_chisq,p_fisher,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0,0.5786,0.5552,1.62895622895623,1.62895622895623,0.082089552238806,0.127155172413793,0.127155172413793,PTPN22
10000,402,1,1,0.01,0.5772,0.5537,1.62234534518938,1.62895622895623,0.082089552238806,0.127155172413793,0.126704516212043,PTPN22
10000,402,1,1,0.02,0.5702,0.55,1.61574128087645,1.62895622895623,0.082089552238806,0.127155172413793,0.126253860010293,PTPN22
10000,402,1,1,0.03,0.5498,0.5287,1.60914402547098,1.62895622895623,0.082089552238806,0.127155172413793,0.125803203808544,PTPN22
10000,402,1,1,0.04,0.5491,0.528,1.60255356844822,1.62895622895623,0.082089552238806,0.127155172413793,0.125352547606794,PTPN22
10000,402,1,1,0.05,0.5502,0.527,1.59596989930513,1.62895622895623,0.082089552238806,0.127155172413793,0.124901891405044,PTPN22
10000,402,1,1,0.06,0.5316,0.5102,1.58939300756028,1.62895622895623,0.082089552238806,0.127155172413793,0.124451235203294,PTPN22
10000,402,1,1,0.07,0.5161,0.4946,1.58282288275381,1.62895622895623,0.082089552238806,0.127155172413793,0.124000579001544,PTPN22
10000,402,1,1,0.08,0.5291,0.5079,1.57625951444739,1.62895622895623,0.082089552238806,0.127155172413793,0.123549922799794,PTPN22
10000,402,1,1,0.09,0.5154,0.4932,1.56970289222411,1.62895622895623,0.082089552238806,0.127155172413793,0.123099266598044,PTPN22
10000,402,1,1,0.1,0.4937,0.4709,1.56315300568851,1.62895622895623,0.082089552238806,0.127155172413793,0.122648610396295,PTPN22
10000,402,1,1,0.11,0.4987,0.4776,1.55660984446643,1.62895622895623,0.082089552238806,0.127155172413793,0.122197954194545,PTPN22
10000,402,1,1,0.12,0.4764,0.4564,1.55007339820504,1.62895622895623,0.082089552238806,0.127155172413793,0.121747297992795,PTPN22
10000,402,1,1,0.13,0.476,0.4546,1.54354365657273,1.62895622895623,0.082089552238806,0.127155172413793,0.121296641791045,PTPN22
10000,402,1,1,0.14,0.4703,0.4486,1.53702060925909,1.62895622895623,0.082089552238806,0.127155172413793,0.120845985589295,PTPN22
10000,402,1,1,0.15,0.4651,0.4429,1.53050424597481,1.62895622895623,0.082089552238806,0.127155172413793,0.120395329387545,PTPN22
10000,402,1,1,0.16,0.4507,0.4277,1.52399455645169,1.62895622895623,0.082089552238806,0.127155172413793,0.119944673185795,PTPN22
10000,402,1,1,0.17,0.4437,0.4228,1.51749153044253,1.62895622895623,0.082089552238806,0.127155172413793,0.119494016984045,PTPN22
10000,402,1,1,0.18,0.435,0.4145,1.51099515772111,1.62895622895623,0.082089552238806,0.127155172413793,0.119043360782296,PTPN22
10000,402,1,1,0.19,0.4375,0.4164,1.50450542808211,1.62895622895623,0.082089552238806,0.127155172413793,0.118592704580546,PTPN22
10000,402,1,1,0.2,0.4192,0.3999,1.49802233134108,1.62895622895623,0.082089552238806,0.127155172413793,0.118142048378796,PTPN22
10000,402,1,1,0.21,0.4183,0.3971,1.49154585733437,1.62895622895623,0.082089552238806,0.127155172413793,0.117691392177046,PTPN22
10000,402,1,1,0.22,0.3994,0.376,1.48507599591911,1.62895622895623,0.082089552238806,0.127155172413793,0.117240735975296,PTPN22
10000,402,1,1,0.23,0.3898,0.3697,1.4786127369731,1.62895622895623,0.082089552238806,0.127155172413793,0.116790079773546,PTPN22
10000,402,1,1,0.24,0.3816,0.3615,1.47215607039481,1.62895622895623,0.082089552238806,0.127155172413793,0.116339423571796,PTPN22
10000,402,1,1,0.25,0.3847,0.3633,1.46570598610329,1.62895622895623,0.082089552238806,0.127155172413793,0.115888767370046,PTPN22
10000,402,1,1,0.26,0.3707,0.3502,1.45926247403815,1.62895622895623,0.082089552238806,0.127155172413793,0.115438111168297,PTPN22
10000,402,1,1,0.27,0.3709,0.3507,1.45282552415947,1.62895622895623,0.082089552238806,0.127155172413793,0.114987454966547,PTPN22
10000,402,1,1,0.28,0.3601,0.3382,1.44639512644779,1.62895622895623,0.082089552238806,0.127155172413793,0.114536798764797,PTPN22
10000,402,1,1,0.29,0.3484,0.3281,1.43997127090403,1.62895622895623,0.082089552238806,0.127155172413793,0.114086142563047,PTPN22
10000,402,1,1,0.3,0.3284,0.3096,1.43355394754944,1.62895622895623,0.082089552238806,0.127155172413793,0.113635486361297,PTPN22
10000,402,1,1,0.31,0.3397,0.3187,1.42714314642557,1.62895622895623,0.082089552238806,0.127155172413793,0.113184830159547,PTPN22
10000,402,1,1,0.32,0.3308,0.3097,1.42073885759417,1.62895622895623,0.082089552238806,0.127155172413793,0.112734173957797,PTPN22
10000,402,1,1,0.33,0.3163,0.2973,1.41434107113722,1.62895622895623,0.082089552238806,0.127155172413793,0.112283517756047,PTPN22
10000,402,1,1,0.34,0.3041,0.2827,1.40794977715678,1.62895622895623,0.082089552238806,0.127155172413793,0.111832861554298,PTPN22
10000,402,1,1,0.35,0.3109,0.291,1.40156496577501,1.62895622895623,0.082089552238806,0.127155172413793,0.111382205352548,PTPN22
10000,402,1,1,0.36,0.3018,0.2814,1.39518662713411,1.62895622895623,0.082089552238806,0.127155172413793,0.110931549150798,PTPN22
10000,402,1,1,0.37,0.2853,0.2678,1.38881475139624,1.62895622895623,0.082089552238806,0.127155172413793,0.110480892949048,PTPN22
10000,402,1,1,0.38,0.2837,0.2655,1.38244932874349,1.62895622895623,0.082089552238806,0.127155172413793,0.110030236747298,PTPN22
