sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,201,1,1,0,0.3557,0.346315559634187,0.365084440365813,1.62895622895623,1.62895622895623,0.082089552238806,0.127155172413793,0.127155172413793,PTPN22
10000,201,1,1,0.01,0.3501,0.340749352086753,0.359450647913248,1.62234534518938,1.62895622895623,0.082089552238806,0.127155172413793,0.126704516212043,PTPN22
10000,201,1,1,0.02,0.3421,0.332800087532282,0.351399912467718,1.61574128087645,1.62895622895623,0.082089552238806,0.127155172413793,0.126253860010293,PTPN22
10000,201,1,1,0.03,0.3289,0.319690247976684,0.338109752023317,1.60914402547098,1.62895622895623,0.082089552238806,0.127155172413793,0.125803203808543,PTPN22
10000,201,1,1,0.04,0.3345,0.325251006556305,0.343748993443695,1.60255356844822,1.62895622895623,0.082089552238806,0.127155172413793,0.125352547606794,PTPN22
10000,201,1,1,0.05,0.3322,0.322966945436893,0.341433054563107,1.59596989930513,1.62895622895623,0.082089552238806,0.127155172413793,0.124901891405044,PTPN22
10000,201,1,1,0.06,0.3287,0.319491676753088,0.337908323246912,1.58939300756028,1.62895622895623,0.082089552238806,0.127155172413793,0.124451235203294,PTPN22
10000,201,1,1,0.07,0.3211,0.311947379870882,0.330252620129118,1.58282288275381,1.62895622895623,0.082089552238806,0.127155172413793,0.124000579001544,PTPN22
10000,201,1,1,0.08,0.3194,0.310260218594547,0.328539781405453,1.57625951444739,1.62895622895623,0.082089552238806,0.127155172413793,0.123549922799794,PTPN22
10000,201,1,1,0.09,0.3036,0.294586309423287,0.312613690576713,1.56970289222411,1.62895622895623,0.082089552238806,0.127155172413793,0.123099266598044,PTPN22
10000,201,1,1,0.1,0.3043,0.295280460632011,0.313319539367989,1.56315300568851,1.62895622895623,0.082089552238806,0.127155172413793,0.122648610396294,PTPN22
10000,201,1,1,0.11,0.3002,0.291215070088704,0.309184929911296,1.55660984446643,1.62895622895623,0.082089552238806,0.127155172413793,0.122197954194545,PTPN22
10000,201,1,1,0.12,0.2897,0.280807629780174,0.298592370219826,1.55007339820504,1.62895622895623,0.082089552238806,0.127155172413793,0.121747297992795,PTPN22
10000,201,1,1,0.13,0.2903,0.281402186447622,0.299197813552378,1.54354365657273,1.62895622895623,0.082089552238806,0.127155172413793,0.121296641791045,PTPN22
