sim,sample_size,sensitivity,specificity,misrate,p_chisq,p_fisher,overall_or,or_t,theta0,theta1_true,theta1
10000,100,1,1,0.5,0.0062,0.0062,1.99009900990099,3,0.01,0.0294117647058824,0.0197058823529412
10000,100,1,1,0.51,0.0048,0.0048,1.97010492971689,3,0.01,0.0294117647058824,0.0195117647058824
10000,100,1,1,0.52,0.0048,0.0048,1.95011876484561,3,0.01,0.0294117647058824,0.0193176470588235
10000,100,1,1,0.53,0.0057,0.0057,1.93014051058777,3,0.01,0.0294117647058824,0.0191235294117647
10000,100,1,1,0.54,0.005,0.005,1.91017016224772,3,0.01,0.0294117647058824,0.0189294117647059
10000,100,1,1,0.55,0.005,0.005,1.89020771513353,3,0.01,0.0294117647058824,0.0187352941176471
10000,100,1,1,0.56,0.0051,0.0051,1.87025316455696,3,0.01,0.0294117647058824,0.0185411764705882
10000,100,1,1,0.57,0.0047,0.0047,1.8503065058335,3,0.01,0.0294117647058824,0.0183470588235294
10000,100,1,1,0.58,0.003,0.003,1.83036773428232,3,0.01,0.0294117647058824,0.0181529411764706
10000,100,1,1,0.59,0.0037,0.0037,1.81043684522633,3,0.01,0.0294117647058824,0.0179588235294118
10000,100,1,1,0.6,0.0029,0.0029,1.79051383399209,3,0.01,0.0294117647058824,0.0177647058823529
10000,100,1,1,0.61,0.0029,0.0029,1.7705986959099,3,0.01,0.0294117647058824,0.0175705882352941
10000,100,1,1,0.62,0.0033,0.0033,1.75069142631371,3,0.01,0.0294117647058824,0.0173764705882353
10000,100,1,1,0.63,0.0031,0.0031,1.73079202054118,3,0.01,0.0294117647058824,0.0171823529411765
10000,100,1,1,0.64,0.0043,0.0043,1.71090047393365,3,0.01,0.0294117647058824,0.0169882352941176
10000,100,1,1,0.65,0.003,0.003,1.69101678183613,3,0.01,0.0294117647058824,0.0167941176470588
10000,100,1,1,0.66,0.0032,0.0032,1.67114093959732,3,0.01,0.0294117647058824,0.0166
10000,100,1,1,0.67,0.0026,0.0026,1.65127294256957,3,0.01,0.0294117647058824,0.0164058823529412
10000,100,1,1,0.68,0.002,0.002,1.63141278610892,3,0.01,0.0294117647058824,0.0162117647058824
10000,100,1,1,0.69,0.0021,0.0021,1.61156046557506,3,0.01,0.0294117647058824,0.0160176470588235
10000,100,1,1,0.7,0.0024,0.0024,1.59171597633136,3,0.01,0.0294117647058824,0.0158235294117647
10000,100,1,1,0.71,0.0021,0.0021,1.57187931374482,3,0.01,0.0294117647058824,0.0156294117647059
10000,100,1,1,0.72,8e-04,8e-04,1.55205047318612,3,0.01,0.0294117647058824,0.0154352941176471
10000,100,1,1,0.73,0.002,0.002,1.53222945002957,3,0.01,0.0294117647058824,0.0152411764705882
10000,100,1,1,0.74,0.0014,0.0014,1.51241623965313,3,0.01,0.0294117647058824,0.0150470588235294
10000,100,1,1,0.75,0.0018,0.0018,1.49261083743842,3,0.01,0.0294117647058824,0.0148529411764706
10000,100,1,1,0.76,0.0014,0.0014,1.47281323877069,3,0.01,0.0294117647058824,0.0146588235294118
10000,100,1,1,0.77,0.0012,0.0012,1.4530234390388,3,0.01,0.0294117647058824,0.0144647058823529
10000,100,1,1,0.78,0.0018,0.0018,1.43324143363529,3,0.01,0.0294117647058824,0.0142705882352941
10000,100,1,1,0.79,0.0012,0.0012,1.41346721795629,3,0.01,0.0294117647058824,0.0140764705882353
10000,100,1,1,0.8,0.0012,0.0012,1.39370078740157,3,0.01,0.0294117647058824,0.0138823529411765
10000,100,1,1,0.81,9e-04,9e-04,1.37394213737453,3,0.01,0.0294117647058824,0.0136882352941176
10000,100,1,1,0.82,0.0014,0.0014,1.35419126328217,3,0.01,0.0294117647058824,0.0134941176470588
10000,100,1,1,0.83,0.0014,0.0014,1.33444816053512,3,0.01,0.0294117647058824,0.0133
10000,100,1,1,0.84,6e-04,6e-04,1.3147128245476,3,0.01,0.0294117647058824,0.0131058823529412
10000,100,1,1,0.85,8e-04,8e-04,1.29498525073746,3,0.01,0.0294117647058824,0.0129117647058824
10000,100,1,1,0.86,0.001,0.001,1.27526543452615,3,0.01,0.0294117647058824,0.0127176470588235
10000,100,1,1,0.87,0.0013,0.0013,1.25555337133871,3,0.01,0.0294117647058824,0.0125235294117647
10000,100,1,1,0.88,6e-04,6e-04,1.23584905660377,3,0.01,0.0294117647058824,0.0123294117647059
10000,100,1,1,0.89,7e-04,7e-04,1.21615248575359,3,0.01,0.0294117647058824,0.0121352941176471
10000,100,1,1,0.9,0.0013,0.0013,1.19646365422397,3,0.01,0.0294117647058824,0.0119411764705882
10000,100,1,1,0.91,5e-04,5e-04,1.17678255745433,3,0.01,0.0294117647058824,0.0117470588235294
10000,100,1,1,0.92,2e-04,2e-04,1.15710919088767,3,0.01,0.0294117647058824,0.0115529411764706
10000,100,1,1,0.93,5e-04,5e-04,1.13744354997055,3,0.01,0.0294117647058824,0.0113588235294118
10000,100,1,1,0.94,6e-04,6e-04,1.11778563015312,3,0.01,0.0294117647058824,0.0111647058823529
10000,100,1,1,0.95,5e-04,5e-04,1.09813542688911,3,0.01,0.0294117647058824,0.0109705882352941
10000,100,1,1,0.96,1e-04,1e-04,1.07849293563579,3,0.01,0.0294117647058824,0.0107764705882353
10000,100,1,1,0.97,2e-04,2e-04,1.05885815185403,3,0.01,0.0294117647058824,0.0105823529411765
10000,100,1,1,0.98,5e-04,5e-04,1.03923107100824,3,0.01,0.0294117647058824,0.0103882352941176
10000,100,1,1,0.99,6e-04,6e-04,1.01961168856639,3,0.01,0.0294117647058824,0.0101941176470588
10000,100,1,1,1,4e-04,4e-04,1,3,0.01,0.0294117647058824,0.01
10000,100,1,1,0,0.457,0.479,3,3,0.05,0.136363636363636,0.136363636363636
10000,100,1,1,0.01,0.4541,0.474,2.97802197802198,3,0.05,0.136363636363636,0.1355
10000,100,1,1,0.02,0.4463,0.4681,2.9560878243513,3,0.05,0.136363636363636,0.134636363636364
10000,100,1,1,0.03,0.4268,0.4466,2.93419740777667,3,0.05,0.136363636363636,0.133772727272727
10000,100,1,1,0.04,0.4181,0.4405,2.91235059760956,3,0.05,0.136363636363636,0.132909090909091
10000,100,1,1,0.05,0.4118,0.4328,2.89054726368159,3,0.05,0.136363636363636,0.132045454545455
10000,100,1,1,0.06,0.4029,0.4279,2.86878727634195,3,0.05,0.136363636363636,0.131181818181818
10000,100,1,1,0.07,0.3991,0.4184,2.84707050645482,3,0.05,0.136363636363636,0.130318181818182
10000,100,1,1,0.08,0.4022,0.4242,2.82539682539683,3,0.05,0.136363636363636,0.129454545454546
10000,100,1,1,0.09,0.3853,0.4046,2.80376610505451,3,0.05,0.136363636363636,0.128590909090909
10000,100,1,1,0.1,0.3834,0.4051,2.78217821782178,3,0.05,0.136363636363636,0.127727272727273
10000,100,1,1,0.11,0.3681,0.388,2.76063303659743,3,0.05,0.136363636363636,0.126863636363636
10000,100,1,1,0.12,0.3761,0.3966,2.73913043478261,3,0.05,0.136363636363636,0.126
