sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,0.8,0.8,0.45,0.1813,0.173747622706006,0.188852377293994,2.2863436123348,3,0.25,0.5,0.4325
10000,100,0.8,0.8,0.46,0.1824,0.17482983685642,0.18997016314358,2.27240773286468,3,0.25,0.5,0.431
10000,100,0.8,0.8,0.47,0.1716,0.164209036330455,0.178990963669545,2.25854513584575,3,0.25,0.5,0.4295
10000,100,0.8,0.8,0.48,0.1685,0.1611624096817,0.1758375903183,2.24475524475524,3,0.25,0.5,0.428
10000,100,0.8,0.8,0.49,0.1561,0.148985091396535,0.163214908603465,2.23103748910201,3,0.25,0.5,0.4265
10000,100,0.8,0.8,0.5,0.1527,0.145648841089953,0.159751158910047,2.21739130434783,3,0.25,0.5,0.425
10000,100,0.8,0.8,0.51,0.1504,0.143392654184686,0.157407345815314,2.20381613183001,3,0.25,0.5,0.4235
10000,100,0.8,0.8,0.52,0.1423,0.135451546115198,0.149148453884802,2.19031141868512,3,0.25,0.5,0.422
10000,100,0.8,0.8,0.53,0.1434,0.136529537218171,0.150270462781829,2.17687661777394,3,0.25,0.5,0.4205
10000,100,0.8,0.8,0.54,0.1363,0.129574078901032,0.143025921098968,2.16351118760757,3,0.25,0.5,0.419
10000,100,0.8,0.8,0.55,0.13,0.123407446193044,0.136592553806956,2.15021459227468,3,0.25,0.5,0.4175
10000,100,0.8,0.8,0.56,0.1305,0.123896678696344,0.137103321303656,2.13698630136986,3,0.25,0.5,0.416
10000,100,0.8,0.8,0.57,0.1146,0.108355690104838,0.120844309895162,2.12382578992314,3,0.25,0.5,0.4145
10000,100,0.8,0.8,0.58,0.1178,0.111480560614186,0.124119439385814,2.11073253833049,3,0.25,0.5,0.413
10000,100,0.8,0.8,0.59,0.1138,0.107574712909566,0.120025287090434,2.09770603228547,3,0.25,0.5,0.4115
10000,100,0.8,0.8,0.6,0.1121,0.105915462675013,0.118284537324987,2.08474576271186,3,0.25,0.5,0.41
10000,100,0.8,0.8,0.61,0.1065,0.100452937421769,0.112547062578231,2.07185122569738,3,0.25,0.5,0.4085
10000,100,0.8,0.8,0.62,0.1008,0.0948982501753346,0.106701749824665,2.05902192242833,3,0.25,0.5,0.407
10000,100,0.8,0.8,0.63,0.0987,0.0928532349463846,0.104546765053615,2.04625735912531,3,0.25,0.5,0.4055
10000,100,0.8,0.8,0.64,0.0928,0.0871121532105548,0.0984878467894452,2.03355704697987,3,0.25,0.5,0.404
10000,100,0.8,0.8,0.65,0.0888,0.0832238336787599,0.0943761663212401,2.02092050209205,3,0.25,0.5,0.4025
