sim,n_control,n_cfs,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,201,305,1,1,0,0.4772,0.467408699317506,0.486991300682495,1.78038346555093,1.62895622895623,0.082089552238806,0.13735193402984,0.13735193402984,PTPN22
10000,201,305,1,1,0.01,0.4749,0.465110861466815,0.484689138533185,1.77312831309757,1.62895622895623,0.082089552238806,0.13735193402984,0.136868825648446,PTPN22
10000,201,305,1,1,0.02,0.4718,0.462014105095643,0.481585894904357,1.76588127775165,1.62895622895623,0.082089552238806,0.13735193402984,0.136385717267052,PTPN22
10000,201,305,1,1,0.03,0.47,0.46021616219542,0.47978383780458,1.75864234589858,1.62895622895623,0.082089552238806,0.13735193402984,0.135902608885657,PTPN22
10000,201,305,1,1,0.04,0.4623,0.452526404844763,0.472073595155237,1.7514115039542,1.62895622895623,0.082089552238806,0.13735193402984,0.135419500504263,PTPN22
10000,201,305,1,1,0.05,0.4547,0.444938813590524,0.464461186409476,1.74418873836472,1.62895622895623,0.082089552238806,0.13735193402984,0.134936392122869,PTPN22
10000,201,305,1,1,0.06,0.4377,0.427974886117183,0.447425113882817,1.73697403560656,1.62895622895623,0.082089552238806,0.13735193402984,0.134453283741475,PTPN22
10000,201,305,1,1,0.07,0.4455,0.43575690336444,0.45524309663556,1.72976738218637,1.62895622895623,0.082089552238806,0.13735193402984,0.13397017536008,PTPN22
10000,201,305,1,1,0.08,0.434,0.424284269469371,0.443715730530629,1.72256876464086,1.62895622895623,0.082089552238806,0.13735193402984,0.133487066978686,PTPN22
10000,201,305,1,1,0.09,0.4324,0.422688497715474,0.442111502284526,1.71537816953675,1.62895622895623,0.082089552238806,0.13735193402984,0.133003958597292,PTPN22
10000,201,305,1,1,0.1,0.4212,0.411520992572861,0.430879007427139,1.7081955834707,1.62895622895623,0.082089552238806,0.13735193402984,0.132520850215897,PTPN22
10000,201,305,1,1,0.11,0.4171,0.407434162196941,0.42676583780306,1.7010209930692,1.62895622895623,0.082089552238806,0.13735193402984,0.132037741834503,PTPN22
10000,201,305,1,1,0.12,0.423,0.413315427138576,0.432684572861424,1.6938543849885,1.62895622895623,0.082089552238806,0.13735193402984,0.131554633453109,PTPN22
10000,201,305,1,1,0.13,0.4014,0.391790972839171,0.411009027160829,1.68669574591452,1.62895622895623,0.082089552238806,0.13735193402984,0.131071525071715,PTPN22
10000,201,305,1,1,0.14,0.3988,0.389201365795507,0.408398634204493,1.67954506256279,1.62895622895623,0.082089552238806,0.13735193402984,0.13058841669032,PTPN22
10000,201,305,1,1,0.15,0.3931,0.383525139146988,0.402674860853012,1.67240232167833,1.62895622895623,0.082089552238806,0.13735193402984,0.130105308308926,PTPN22
10000,201,305,1,1,0.16,0.3823,0.372773939611377,0.391826060388623,1.6652675100356,1.62895622895623,0.082089552238806,0.13735193402984,0.129622199927532,PTPN22
10000,201,305,1,1,0.17,0.3879,0.37834801877439,0.397451981225611,1.65814061443841,1.62895622895623,0.082089552238806,0.13735193402984,0.129139091546137,PTPN22
10000,201,305,1,1,0.18,0.3739,0.364415335677847,0.383384664322153,1.65102162171983,1.62895622895623,0.082089552238806,0.13735193402984,0.128655983164743,PTPN22
10000,201,305,1,1,0.19,0.3664,0.356954875271336,0.375845124728664,1.64391051874212,1.62895622895623,0.082089552238806,0.13735193402984,0.128172874783349,PTPN22
10000,201,305,1,1,0.2,0.3599,0.350491135426567,0.369308864573433,1.63680729239663,1.62895622895623,0.082089552238806,0.13735193402984,0.127689766401954,PTPN22
10000,201,305,1,1,0.21,0.3675,0.358048922656308,0.376951077343692,1.62971192960376,1.62895622895623,0.082089552238806,0.13735193402984,0.12720665802056,PTPN22
10000,201,305,1,1,0.22,0.3431,0.333793585953237,0.352406414046763,1.62262441731283,1.62895622895623,0.082089552238806,0.13735193402984,0.126723549639166,PTPN22
10000,201,305,1,1,0.23,0.3509,0.341544438256621,0.360255561743379,1.61554474250203,1.62895622895623,0.082089552238806,0.13735193402984,0.126240441257772,PTPN22
10000,201,305,1,1,0.24,0.3398,0.330515215506735,0.349084784493265,1.60847289217834,1.62895622895623,0.082089552238806,0.13735193402984,0.125757332876377,PTPN22
10000,201,305,1,1,0.25,0.331,0.321775359788003,0.340224640211997,1.60140885337743,1.62895622895623,0.082089552238806,0.13735193402984,0.125274224494983,PTPN22
10000,201,305,1,1,0.26,0.3296,0.320385262140135,0.338814737859865,1.59435261316361,1.62895622895623,0.082089552238806,0.13735193402984,0.124791116113589,PTPN22
10000,201,305,1,1,0.27,0.3263,0.317108969840504,0.335491030159496,1.58730415862974,1.62895622895623,0.082089552238806,0.13735193402984,0.124308007732194,PTPN22
10000,201,305,1,1,0.28,0.3196,0.310458700914942,0.328741299085058,1.58026347689711,1.62895622895623,0.082089552238806,0.13735193402984,0.1238248993508,PTPN22
10000,201,305,1,1,0.29,0.3096,0.30053697353896,0.31866302646104,1.57323055511545,1.62895622895623,0.082089552238806,0.13735193402984,0.123341790969406,PTPN22
10000,201,305,1,1,0.3,0.3128,0.303711392922267,0.321888607077733,1.56620538046277,1.62895622895623,0.082089552238806,0.13735193402984,0.122858682588012,PTPN22
10000,201,305,1,1,0.31,0.3026,0.293594707700396,0.311605292299604,1.55918794014531,1.62895622895623,0.082089552238806,0.13735193402984,0.122375574206617,PTPN22
10000,201,305,1,1,0.32,0.2955,0.286555797526267,0.304444202473733,1.55217822139748,1.62895622895623,0.082089552238806,0.13735193402984,0.121892465825223,PTPN22
