sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,0.8,0.8,0.45,0.3824,0.372873465027976,0.391926534972024,2.70071258907363,5,0.25,0.625,0.47375
10000,100,0.8,0.8,0.46,0.3666,0.357153789037435,0.376046210962565,2.67644276253548,5,0.25,0.625,0.4715
10000,100,0.8,0.8,0.47,0.3542,0.344824473204102,0.363575526795898,2.65237870937353,5,0.25,0.625,0.46925
10000,100,0.8,0.8,0.48,0.3364,0.327138025885839,0.345661974114161,2.62851782363977,5,0.25,0.625,0.467
10000,100,0.8,0.8,0.49,0.3268,0.317605344579858,0.335994655420142,2.60485754320411,5,0.25,0.625,0.46475
10000,100,0.8,0.8,0.5,0.3201,0.310954915171363,0.329245084828637,2.58139534883721,5,0.25,0.625,0.4625
10000,100,0.8,0.8,0.51,0.3075,0.298454036531273,0.316545963468727,2.55812876331635,5,0.25,0.625,0.46025
10000,100,0.8,0.8,0.52,0.2968,0.287844419130102,0.305755580869898,2.53505535055351,5,0.25,0.625,0.458
10000,100,0.8,0.8,0.53,0.2948,0.285861960450049,0.303738039549951,2.51217271474506,5,0.25,0.625,0.45575
10000,100,0.8,0.8,0.54,0.277,0.26822733765723,0.28577266234277,2.48947849954254,5,0.25,0.625,0.4535
10000,100,0.8,0.8,0.55,0.2624,0.253775880811242,0.271024119188758,2.46697038724374,5,0.25,0.625,0.45125
10000,100,0.8,0.8,0.56,0.2529,0.24437908636427,0.26142091363573,2.44464609800363,5,0.25,0.625,0.449
10000,100,0.8,0.8,0.57,0.2405,0.232121933367241,0.248878066632759,2.42250338906462,5,0.25,0.625,0.44675
10000,100,0.8,0.8,0.58,0.2268,0.218591008075751,0.235008991924249,2.4005400540054,5,0.25,0.625,0.4445
10000,100,0.8,0.8,0.59,0.2277,0.219479524991454,0.235920475008546,2.37875392200807,5,0.25,0.625,0.44225
10000,100,0.8,0.8,0.6,0.2077,0.199747833641814,0.215652166358186,2.35714285714286,5,0.25,0.625,0.44
10000,100,0.8,0.8,0.61,0.201,0.193144138846783,0.208855861153217,2.33570475767008,5,0.25,0.625,0.43775
10000,100,0.8,0.8,0.62,0.2046,0.196691975818556,0.212508024181444,2.31443755535872,5,0.25,0.625,0.4355
10000,100,0.8,0.8,0.63,0.1879,0.180242437927036,0.195557562072964,2.29333921482135,5,0.25,0.625,0.43325
10000,100,0.8,0.8,0.64,0.1764,0.168928120832916,0.183871879167084,2.27240773286467,5,0.25,0.625,0.431
10000,100,0.8,0.8,0.65,0.165,0.157723750365444,0.172276249634556,2.25164113785558,5,0.25,0.625,0.42875
10000,100,0.8,0.8,0.66,0.1586,0.151438974405412,0.165761025594588,2.231037489102,5,0.25,0.625,0.4265
10000,100,0.8,0.8,0.67,0.1488,0.141823466986099,0.155776533013901,2.21059487624837,5,0.25,0.625,0.42425
10000,100,0.8,0.8,0.68,0.146,0.139078061380292,0.152921938619708,2.19031141868512,5,0.25,0.625,0.422
10000,100,0.8,0.8,0.69,0.1405,0.133687861279008,0.147312138720992,2.17018526497199,5,0.25,0.625,0.41975
10000,100,0.8,0.8,0.7,0.1325,0.125853927699799,0.139146072300201,2.15021459227468,5,0.25,0.625,0.4175
10000,100,0.8,0.8,0.71,0.1285,0.121939942588626,0.135060057411374,2.13039760581445,5,0.25,0.625,0.41525
10000,100,0.8,0.8,0.72,0.1215,0.115095556443131,0.127904443556869,2.11073253833049,5,0.25,0.625,0.413
10000,100,0.8,0.8,0.73,0.106,0.0999654613575284,0.112034538642472,2.09121764955452,5,0.25,0.625,0.41075
10000,100,0.8,0.8,0.74,0.1047,0.0986982208050533,0.110701779194947,2.07185122569738,5,0.25,0.625,0.4085
10000,100,0.8,0.8,0.75,0.1055,0.0994780272923846,0.111521972707615,2.05263157894737,5,0.25,0.625,0.40625
10000,100,0.8,0.8,0.76,0.0951,0.089349403003155,0.100850596996845,2.03355704697987,5,0.25,0.625,0.404
10000,100,0.8,0.8,0.77,0.0893,0.0837096914566624,0.0948903085433377,2.01462599247806,5,0.25,0.625,0.40175
10000,100,0.8,0.8,0.78,0.0876,0.0820579929741843,0.0931420070258157,1.99583680266445,5,0.25,0.625,0.3995
