sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,virus
10000,107,0.975,0.975,0,0.1075,0.101428014508898,0.113571985491102,0.869303797468354,0.8375,0.373831775700935,0.333333333333333,0.341666666666667,CMV
10000,107,0.975,0.975,0.01,0.1104,0.104256663498796,0.116543336501204,0.870791578184814,0.8375,0.373831775700935,0.333333333333333,0.342051401869159,CMV
10000,107,0.975,0.975,0.02,0.1053,0.0992830654849873,0.111316934515013,0.87228109987777,0.8375,0.373831775700935,0.333333333333333,0.342436137071651,CMV
10000,107,0.975,0.975,0.03,0.1076,0.101525531321049,0.113674468678951,0.873772365604905,0.8375,0.373831775700935,0.333333333333333,0.342820872274143,CMV
10000,107,0.975,0.975,0.04,0.1044,0.0984058214888536,0.110394178511146,0.875265378431065,0.8375,0.373831775700935,0.333333333333333,0.343205607476635,CMV
10000,107,0.975,0.975,0.05,0.1032,0.0972363790866057,0.109163620913394,0.876760141428283,0.8375,0.373831775700935,0.333333333333333,0.343590342679128,CMV
10000,107,0.975,0.975,0.06,0.1039,0.0979185236067049,0.109881476393295,0.878256657675797,0.8375,0.373831775700935,0.333333333333333,0.34397507788162,CMV
10000,107,0.975,0.975,0.07,0.1021,0.0961646103171213,0.108035389682879,0.879754930260072,0.8375,0.373831775700935,0.333333333333333,0.344359813084112,CMV
10000,107,0.975,0.975,0.08,0.0972,0.0913930071901139,0.103006992809886,0.881254962274826,0.8375,0.373831775700935,0.333333333333333,0.344744548286604,CMV
10000,107,0.975,0.975,0.09,0.1014,0.0954826866853372,0.107317313314663,0.882756756821041,0.8375,0.373831775700935,0.333333333333333,0.345129283489096,CMV
10000,107,0.975,0.975,0.1,0.098,0.0921717430900514,0.103828256909949,0.884260317006997,0.8375,0.373831775700935,0.333333333333333,0.345514018691589,CMV
10000,107,0.975,0.975,0.11,0.0961,0.0903224426162694,0.101877557383731,0.885765645948282,0.8375,0.373831775700935,0.333333333333333,0.345898753894081,CMV
10000,107,0.975,0.975,0.12,0.0925,0.0868204155188359,0.0981795844811641,0.887272746767821,0.8375,0.373831775700935,0.333333333333333,0.346283489096573,CMV
10000,107,0.975,0.975,0.13,0.0955,0.089738595705251,0.101261404294749,0.888781622595896,0.8375,0.373831775700935,0.333333333333333,0.346668224299065,CMV
10000,107,0.975,0.975,0.14,0.0937,0.0879874743111951,0.0994125256888049,0.890292276570164,0.8375,0.373831775700935,0.333333333333333,0.347052959501558,CMV
10000,107,0.975,0.975,0.15,0.0882,0.0826408746463136,0.0937591253536864,0.891804711835682,0.8375,0.373831775700935,0.333333333333333,0.34743769470405,CMV
10000,107,0.975,0.975,0.16,0.0885,0.0829323445369684,0.0940676554630316,0.893318931544932,0.8375,0.373831775700935,0.333333333333333,0.347822429906542,CMV
10000,107,0.975,0.975,0.17,0.0941,0.0883765575251173,0.0998234424748827,0.894834938857835,0.8375,0.373831775700935,0.333333333333333,0.348207165109034,CMV
10000,107,0.975,0.975,0.18,0.0857,0.0802127196218747,0.0911872803781253,0.896352736941779,0.8375,0.373831775700935,0.333333333333333,0.348591900311526,CMV
10000,107,0.975,0.975,0.19,0.0914,0.0857508664133914,0.0970491335866086,0.897872328971641,0.8375,0.373831775700935,0.333333333333333,0.348976635514019,CMV
10000,107,0.975,0.975,0.2,0.0842,0.0787564934982778,0.0896435065017222,0.899393718129803,0.8375,0.373831775700935,0.333333333333333,0.349361370716511,CMV
10000,107,0.975,0.975,0.21,0.086,0.0805040255621796,0.0914959744378204,0.900916907606183,0.8375,0.373831775700935,0.333333333333333,0.349746105919003,CMV
10000,107,0.975,0.975,0.22,0.088,0.0824465721247519,0.0935534278752481,0.902441900598251,0.8375,0.373831775700935,0.333333333333333,0.350130841121495,CMV
10000,107,0.975,0.975,0.23,0.086,0.0805040255621796,0.0914959744378204,0.903968700311054,0.8375,0.373831775700935,0.333333333333333,0.350515576323988,CMV
10000,107,0.975,0.975,0.24,0.0888,0.0832238336787599,0.0943761663212401,0.905497309957237,0.8375,0.373831775700935,0.333333333333333,0.35090031152648,CMV
10000,107,0.975,0.975,0.25,0.0808,0.0754576409983427,0.0861423590016574,0.907027732757068,0.8375,0.373831775700935,0.333333333333333,0.351285046728972,CMV
10000,107,0.975,0.975,0.26,0.087,0.0814751893814624,0.0925248106185376,0.908559971938457,0.8375,0.373831775700935,0.333333333333333,0.351669781931464,CMV
10000,107,0.975,0.975,0.27,0.0847,0.0792418455978621,0.0901581544021379,0.91009403073698,0.8375,0.373831775700935,0.333333333333333,0.352054517133956,CMV
10000,107,0.975,0.975,0.28,0.0843,0.0788535593555018,0.0897464406444982,0.911629912395907,0.8375,0.373831775700935,0.333333333333333,0.352439252336449,CMV
10000,107,0.975,0.975,0.29,0.077,0.0717740097669477,0.0822259902330523,0.913167620166214,0.8375,0.373831775700935,0.333333333333333,0.352823987538941,CMV
10000,107,0.975,0.975,0.3,0.0782,0.07293686985729,0.08346313014271,0.914707157306617,0.8375,0.373831775700935,0.333333333333333,0.353208722741433,CMV
10000,107,0.975,0.975,0.31,0.0805,0.0751666978630203,0.0858333021369797,0.916248527083589,0.8375,0.373831775700935,0.333333333333333,0.353593457943925,CMV
10000,107,0.975,0.975,0.32,0.0771,0.0718709006573733,0.0823290993426267,0.917791732771383,0.8375,0.373831775700935,0.333333333333333,0.353978193146417,CMV
10000,107,0.975,0.975,0.33,0.0813,0.0759425945935754,0.0866574054064246,0.919336777652057,0.8375,0.373831775700935,0.333333333333333,0.35436292834891,CMV
