sensitivity,specificity,sample_size,misrate,p_80
0.8,0.8,100,0.09,0.8104
0.8,0.8,250,0.43,0.8116
0.8,0.8,500,0.6,0.8102
0.8,0.8,1000,0.72,0.8255
0.8,0.8,2500,0.82,0.8375
0.8,0.8,5000,0.87,0.8558
0.8,0.9,100,0.23,0.8025
0.8,0.9,250,0.53,0.8088
0.8,0.9,500,0.67,0.823
0.8,0.9,1000,0.77,0.8192
0.8,0.9,2500,0.86,0.806
0.8,0.9,5000,0.9,0.8245
0.8,0.925,100,0.26,0.8074
0.8,0.925,250,0.56,0.8011
0.8,0.925,500,0.69,0.8151
0.8,0.925,1000,0.79,0.8009
0.8,0.925,2500,0.86,0.8535
0.8,0.925,5000,0.9,0.8634
0.8,0.975,100,0.34,0.8019
0.8,0.975,250,0.6,0.8046
0.8,0.975,500,0.72,0.8137
0.8,0.975,1000,0.81,0.8014
0.8,0.975,2500,0.88,0.8202
0.8,0.975,5000,0.91,0.8659
0.8,1,100,0.37,0.8029
0.8,1,250,0.62,0.8091
0.8,1,500,0.74,0.8034
0.8,1,1000,0.82,0.8047
0.8,1,2500,0.88,0.8602
0.8,1,5000,0.92,0.8352
0.9,0.8,100,0.22,0.8011
0.9,0.8,250,0.51,0.8061
0.9,0.8,500,0.65,0.8176
0.9,0.8,1000,0.76,0.807
0.9,0.8,2500,0.85,0.8071
0.9,0.8,5000,0.89,0.8397
0.9,0.9,100,0.33,0.8004
0.9,0.9,250,0.58,0.8141
0.9,0.9,500,0.71,0.8097
0.9,0.9,1000,0.8,0.8044
0.9,0.9,2500,0.87,0.8264
0.9,0.9,5000,0.91,0.8264
0.9,0.925,100,0.35,0.8005
0.9,0.925,250,0.6,0.8095
0.9,0.925,500,0.72,0.8207
0.9,0.925,1000,0.8,0.8359
0.9,0.925,2500,0.88,0.8065
0.9,0.925,5000,0.91,0.8569
0.9,0.975,100,0.4,0.807
0.9,0.975,250,0.63,0.8101
0.9,0.975,500,0.75,0.804
0.9,0.975,1000,0.82,0.8316
0.9,0.975,2500,0.89,0.8247
0.9,0.975,5000,0.92,0.8423
0.9,1,100,0.42,0.8081
0.9,1,250,0.65,0.8112
0.9,1,500,0.76,0.8041
0.9,1,1000,0.83,0.8261
0.9,1,2500,0.89,0.8568
0.9,1,5000,0.92,0.881
0.925,0.8,100,0.25,0.8014
0.925,0.8,250,0.52,0.8288
0.925,0.8,500,0.67,0.807
0.925,0.8,1000,0.77,0.8049
0.925,0.8,2500,0.85,0.833
0.925,0.8,5000,0.89,0.8563
0.925,0.9,100,0.34,0.8137
0.925,0.9,250,0.59,0.8115
0.925,0.9,500,0.72,0.8047
0.925,0.9,1000,0.8,0.8223
0.925,0.9,2500,0.87,0.849
0.925,0.9,5000,0.91,0.8478
0.925,0.925,100,0.36,0.8106
0.925,0.925,250,0.61,0.8113
0.925,0.925,500,0.73,0.8056
0.925,0.925,1000,0.81,0.8226
0.925,0.925,2500,0.88,0.826
0.925,0.925,5000,0.91,0.8752
0.925,0.975,100,0.41,0.8046
0.925,0.975,250,0.64,0.817
0.925,0.975,500,0.75,0.8131
0.925,0.975,1000,0.83,0.8015
0.925,0.975,2500,0.89,0.8431
0.925,0.975,5000,0.92,0.8579
0.925,1,100,0.44,0.806
0.925,1,250,0.66,0.8042
0.925,1,500,0.76,0.8271
0.925,1,1000,0.83,0.8369
0.925,1,2500,0.89,0.869
0.925,1,5000,0.93,0.8058
0.975,0.8,100,0.29,0.8129
0.975,0.8,250,0.56,0.8041
0.975,0.8,500,0.69,0.802
0.975,0.8,1000,0.78,0.8074
0.975,0.8,2500,0.86,0.8298
0.975,0.8,5000,0.9,0.8381
0.975,0.9,100,0.38,0.8078
0.975,0.9,250,0.61,0.8158
0.975,0.9,500,0.73,0.8152
0.975,0.9,1000,0.81,0.8218
0.975,0.9,2500,0.88,0.8318
0.975,0.9,5000,0.91,0.8739
0.975,0.925,100,0.39,0.8221
0.975,0.925,250,0.63,0.8064
0.975,0.925,500,0.74,0.8199
0.975,0.925,1000,0.82,0.8091
0.975,0.925,2500,0.88,0.8633
0.975,0.925,5000,0.92,0.8195
0.975,0.975,100,0.43,0.8133
0.975,0.975,250,0.65,0.8263
0.975,0.975,500,0.76,0.8269
0.975,0.975,1000,0.83,0.842
0.975,0.975,2500,0.89,0.8634
0.975,0.975,5000,0.92,0.8865
0.975,1,100,0.46,0.8076
0.975,1,250,0.67,0.809
0.975,1,500,0.77,0.8164
