sensitivity,specificity,sample_size,misrate,p_80
0.975,1,1000,0.84,0.8325
0.975,1,2500,0.9,0.8317
0.975,1,5000,0.93,0.8253
1,0.8,100,0.32,0.8026
1,0.8,250,0.57,0.8095
1,0.8,500,0.7,0.8035
1,0.8,1000,0.78,0.8357
1,0.8,2500,0.86,0.8424
1,0.8,5000,0.9,0.8535
1,0.9,100,0.39,0.8144
1,0.9,250,0.62,0.8133
1,0.9,500,0.74,0.8127
1,0.9,1000,0.82,0.8007
1,0.9,2500,0.88,0.8492
1,0.9,5000,0.92,0.8031
1,0.925,100,0.41,0.8104
1,0.925,250,0.63,0.8195
1,0.925,500,0.75,0.801
1,0.925,1000,0.82,0.8293
1,0.925,2500,0.89,0.8145
1,0.925,5000,0.92,0.8426
1,0.975,100,0.44,0.8171
1,0.975,250,0.67,0.8002
1,0.975,500,0.77,0.803
1,0.975,1000,0.84,0.8033
1,0.975,2500,0.9,0.8063
1,0.975,5000,0.93,0.8093
1,1,100,0.47,0.8029
1,1,250,0.68,0.8095
1,1,500,0.78,0.8009
1,1,1000,0.84,0.8377
1,1,2500,0.9,0.8432
1,1,5000,0.93,0.8373
