sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,1,1,0,0.0013,0.000593663609477009,0.00200633639052299,1.25,1.25,0.01,0.0124688279301746,0.0124688279301746
10000,100,1,1,0.01,0.0016,0.000816507834474813,0.00238349216552519,1.24749381265468,1.25,0.01,0.0124688279301746,0.0124441396508728
10000,100,1,1,0.02,0.001,0.000380408965691186,0.00161959103430881,1.24498775061247,1.25,0.01,0.0124688279301746,0.0124194513715711
10000,100,1,1,0.03,9e-04,0.000312174915663069,0.00148782508433693,1.24248181386396,1.25,0.01,0.0124688279301746,0.0123947630922693
10000,100,1,1,0.04,4e-04,8.01856360682613e-06,0.000791981436393174,1.23997600239976,1.25,0.01,0.0124688279301746,0.0123700748129676
10000,100,1,1,0.05,0.001,0.000380408965691186,0.00161959103430881,1.23747031621047,1.25,0.01,0.0124688279301746,0.0123453865336658
10000,100,1,1,0.06,6e-04,0.000119970775435465,0.00108002922456454,1.23496475528671,1.25,0.01,0.0124688279301746,0.0123206982543641
10000,100,1,1,0.07,5e-04,6.17733528986244e-05,0.000938226647101376,1.23245931961907,1.25,0.01,0.0124688279301746,0.0122960099750623
10000,100,1,1,0.08,6e-04,0.000119970775435465,0.00108002922456454,1.22995400919816,1.25,0.01,0.0124688279301746,0.0122713216957606
10000,100,1,1,0.09,3e-04,-3.94828613898728e-05,0.000639482861389873,1.2274488240146,1.25,0.01,0.0124688279301746,0.0122466334164589
10000,100,1,1,0.1,6e-04,0.000119970775435465,0.00108002922456454,1.22494376405899,1.25,0.01,0.0124688279301746,0.0122219451371571
10000,100,1,1,0.11,5e-04,6.17733528986244e-05,0.000938226647101376,1.22243882932194,1.25,0.01,0.0124688279301746,0.0121972568578554
10000,100,1,1,0.12,6e-04,0.000119970775435465,0.00108002922456454,1.21993401979406,1.25,0.01,0.0124688279301746,0.0121725685785536
10000,100,1,1,0.13,4e-04,8.01856360682613e-06,0.000791981436393174,1.21742933546597,1.25,0.01,0.0124688279301746,0.0121478802992519
10000,100,1,1,0.14,8e-04,0.000245765461010384,0.00135423453898962,1.21492477632829,1.25,0.01,0.0124688279301746,0.0121231920199501
10000,100,1,1,0.15,5e-04,6.17733528986244e-05,0.000938226647101376,1.21242034237161,1.25,0.01,0.0124688279301746,0.0120985037406484
10000,100,1,1,0.16,6e-04,0.000119970775435465,0.00108002922456454,1.20991603358657,1.25,0.01,0.0124688279301746,0.0120738154613466
10000,100,1,1,0.17,7e-04,0.000181535118743996,0.001218464881256,1.20741184996377,1.25,0.01,0.0124688279301746,0.0120491271820449
10000,100,1,1,0.18,3e-04,-3.94828613898728e-05,0.000639482861389873,1.20490779149383,1.25,0.01,0.0124688279301746,0.0120244389027431
10000,100,1,1,0.19,5e-04,6.17733528986244e-05,0.000938226647101376,1.20240385816737,1.25,0.01,0.0124688279301746,0.0119997506234414
10000,100,1,1,0.2,0.0013,0.000593663609477009,0.00200633639052299,1.19990004997501,1.25,0.01,0.0124688279301746,0.0119750623441397
10000,100,1,1,0.21,2e-04,-7.72004587505454e-05,0.000477200458750545,1.19739636690737,1.25,0.01,0.0124688279301746,0.0119503740648379
10000,100,1,1,0.22,5e-04,6.17733528986244e-05,0.000938226647101376,1.19489280895507,1.25,0.01,0.0124688279301746,0.0119256857855362
10000,100,1,1,0.23,8e-04,0.000245765461010384,0.00135423453898962,1.19238937610874,1.25,0.01,0.0124688279301746,0.0119009975062344
10000,100,1,1,0.24,3e-04,-3.94828613898728e-05,0.000639482861389873,1.18988606835898,1.25,0.01,0.0124688279301746,0.0118763092269327
10000,100,1,1,0.25,0.001,0.000380408965691186,0.00161959103430881,1.18738288569644,1.25,0.01,0.0124688279301746,0.0118516209476309
10000,100,1,1,0.26,8e-04,0.000245765461010384,0.00135423453898962,1.18487982811173,1.25,0.01,0.0124688279301746,0.0118269326683292
10000,100,1,1,0.27,7e-04,0.000181535118743996,0.001218464881256,1.18237689559547,1.25,0.01,0.0124688279301746,0.0118022443890274
