sensitivity,specificity,sample_size,misrate,p_80
0.8,0.8,100,0,0.5332
0.8,0.8,250,0.15,0.8001
0.8,0.8,500,0.4,0.8015
0.8,0.8,1000,0.59,0.8033
0.8,0.8,2500,0.74,0.8123
0.8,0.8,5000,0.81,0.8342
0.8,0.9,100,0,0.6765
0.8,0.9,250,0.3,0.8055
0.8,0.9,500,0.51,0.8213
0.8,0.9,1000,0.66,0.821
0.8,0.9,2500,0.79,0.8069
0.8,0.9,5000,0.85,0.822
0.8,0.925,100,0,0.7299
0.8,0.925,250,0.33,0.8075
0.8,0.925,500,0.54,0.803
0.8,0.925,1000,0.68,0.803
0.8,0.925,2500,0.8,0.8104
0.8,0.925,5000,0.86,0.8124
0.8,0.975,100,0,0.8064
0.8,0.975,250,0.4,0.8059
0.8,0.975,500,0.59,0.8029
0.8,0.975,1000,0.71,0.8205
0.8,0.975,2500,0.82,0.8239
0.8,0.975,5000,0.87,0.8377
0.8,1,100,0.05,0.8064
0.8,1,250,0.43,0.8045
0.8,1,500,0.61,0.8095
0.8,1,1000,0.73,0.8077
0.8,1,2500,0.83,0.8211
0.8,1,5000,0.88,0.8273
0.9,0.8,100,0,0.6755
0.9,0.8,250,0.27,0.8037
0.9,0.8,500,0.48,0.8126
0.9,0.8,1000,0.64,0.8092
0.9,0.8,2500,0.77,0.8196
0.9,0.8,5000,0.84,0.8126
0.9,0.9,100,0,0.789
0.9,0.9,250,0.37,0.8081
0.9,0.9,500,0.56,0.8195
0.9,0.9,1000,0.69,0.8311
0.9,0.9,2500,0.81,0.8138
0.9,0.9,5000,0.86,0.8511
0.9,0.925,100,0.02,0.8016
0.9,0.925,250,0.4,0.809
0.9,0.925,500,0.58,0.8201
0.9,0.925,1000,0.71,0.81
0.9,0.925,2500,0.82,0.8073
0.9,0.925,5000,0.87,0.8296
0.9,0.975,100,0.09,0.8101
0.9,0.975,250,0.46,0.8053
0.9,0.975,500,0.62,0.8117
0.9,0.975,1000,0.73,0.8287
0.9,0.975,2500,0.83,0.8317
0.9,0.975,5000,0.88,0.8472
0.9,1,100,0.14,0.8017
0.9,1,250,0.48,0.8052
0.9,1,500,0.64,0.8101
0.9,1,1000,0.75,0.8112
0.9,1,2500,0.84,0.8402
0.9,1,5000,0.89,0.8265
0.925,0.8,100,0,0.7015
0.925,0.8,250,0.29,0.8041
0.925,0.8,500,0.5,0.8105
0.925,0.8,1000,0.65,0.8099
0.925,0.8,2500,0.78,0.8104
0.925,0.8,5000,0.84,0.8378
0.925,0.9,100,0.02,0.8032
0.925,0.9,250,0.39,0.8037
0.925,0.9,500,0.58,0.8019
0.925,0.9,1000,0.71,0.8015
0.925,0.9,2500,0.81,0.8333
0.925,0.9,5000,0.87,0.8158
0.925,0.925,100,0.05,0.8052
0.925,0.925,250,0.42,0.8012
0.925,0.925,500,0.6,0.8016
0.925,0.925,1000,0.72,0.8004
0.925,0.925,2500,0.82,0.8338
0.925,0.925,5000,0.87,0.8527
0.925,0.975,100,0.11,0.816
0.925,0.975,250,0.47,0.8014
0.925,0.975,500,0.63,0.8063
0.925,0.975,1000,0.74,0.8118
0.925,0.975,2500,0.84,0.8086
0.925,0.975,5000,0.88,0.8584
0.925,1,100,0.15,0.8053
0.925,1,250,0.49,0.8043
0.925,1,500,0.65,0.8062
0.925,1,1000,0.75,0.8249
0.925,1,2500,0.84,0.8456
0.925,1,5000,0.89,0.8397
0.975,0.8,100,0,0.7629
0.975,0.8,250,0.34,0.8123
0.975,0.8,500,0.53,0.8107
0.975,0.8,1000,0.67,0.8066
0.975,0.8,2500,0.79,0.8243
0.975,0.8,5000,0.85,0.8422
0.975,0.9,100,0.06,0.8145
0.975,0.9,250,0.42,0.8119
0.975,0.9,500,0.6,0.8084
0.975,0.9,1000,0.72,0.8172
0.975,0.9,2500,0.82,0.8236
0.975,0.9,5000,0.87,0.8582
0.975,0.925,100,0.1,0.8069
0.975,0.925,250,0.44,0.8098
0.975,0.925,500,0.61,0.8231
0.975,0.925,1000,0.73,0.8119
0.975,0.925,2500,0.83,0.8221
0.975,0.925,5000,0.88,0.8223
0.975,0.975,100,0.15,0.807
0.975,0.975,250,0.48,0.8266
0.975,0.975,500,0.65,0.8058
0.975,0.975,1000,0.75,0.8228
0.975,0.975,2500,0.84,0.845
0.975,0.975,5000,0.89,0.8252
0.975,1,100,0.19,0.8021
0.975,1,250,0.51,0.8067
0.975,1,500,0.66,0.8082
0.975,1,1000,0.76,0.8224
0.975,1,2500,0.85,0.838
0.975,1,5000,0.89,0.8567
1,0.8,100,0,0.7896
1,0.8,250,0.36,0.8115
1,0.8,500,0.55,0.8071
1,0.8,1000,0.68,0.813
1,0.8,2500,0.8,0.8135
1,0.8,5000,0.86,0.8147
1,0.9,100,0.1,0.8033
1,0.9,250,0.43,0.8131
1,0.9,500,0.61,0.8032
1,0.9,1000,0.73,0.8028
1,0.9,2500,0.83,0.8059
1,0.9,5000,0.88,0.8038
1,0.925,100,0.12,0.8053
1,0.925,250,0.46,0.8003
1,0.925,500,0.62,0.8146
1,0.925,1000,0.74,0.8035
1,0.925,2500,0.83,0.8335
1,0.925,5000,0.88,0.834
1,0.975,100,0.18,0.8
1,0.975,250,0.5,0.811
1,0.975,500,0.65,0.8154
1,0.975,1000,0.76,0.8043
1,0.975,2500,0.85,0.812
1,0.975,5000,0.89,0.8405
1,1,100,0.21,0.802
1,1,250,0.52,0.803
1,1,500,0.67,0.8045
1,1,1000,0.77,0.8086
1,1,2500,0.85,0.8421
1,1,5000,0.9,0.8021
