sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0,0.5373,0.527525815093917,0.547074184906083,1.62895622895623,1.62895622895623,0.082089552238806,0.127155172413793,0.127155172413793,PTPN22
10000,402,1,1,0.01,0.53,0.52021616219542,0.53978383780458,1.62234534518938,1.62895622895623,0.082089552238806,0.127155172413793,0.126704516212043,PTPN22
10000,402,1,1,0.02,0.5177,0.507904646941691,0.52749535305831,1.61574128087645,1.62895622895623,0.082089552238806,0.127155172413793,0.126253860010293,PTPN22
10000,402,1,1,0.03,0.5048,0.494998955258182,0.514601044741819,1.60914402547098,1.62895622895623,0.082089552238806,0.127155172413793,0.125803203808543,PTPN22
10000,402,1,1,0.04,0.4985,0.488698547701654,0.508301452298347,1.60255356844822,1.62895622895623,0.082089552238806,0.127155172413793,0.125352547606794,PTPN22
10000,402,1,1,0.05,0.4908,0.48100016293259,0.50059983706741,1.59596989930513,1.62895622895623,0.082089552238806,0.127155172413793,0.124901891405044,PTPN22
10000,402,1,1,0.06,0.4923,0.482499665925183,0.502100334074817,1.58939300756028,1.62895622895623,0.082089552238806,0.127155172413793,0.124451235203294,PTPN22
10000,402,1,1,0.07,0.4796,0.469806664974163,0.489393335025837,1.58282288275381,1.62895622895623,0.082089552238806,0.127155172413793,0.124000579001544,PTPN22
10000,402,1,1,0.08,0.4628,0.45302566864464,0.47257433135536,1.57625951444739,1.62895622895623,0.082089552238806,0.127155172413793,0.123549922799794,PTPN22
10000,402,1,1,0.09,0.4654,0.455621999676017,0.475178000323983,1.56970289222411,1.62895622895623,0.082089552238806,0.127155172413793,0.123099266598044,PTPN22
10000,402,1,1,0.1,0.4484,0.438650837454394,0.458149162545606,1.56315300568851,1.62895622895623,0.082089552238806,0.127155172413793,0.122648610396294,PTPN22
10000,402,1,1,0.11,0.4441,0.434359951840664,0.453840048159336,1.55660984446643,1.62895622895623,0.082089552238806,0.127155172413793,0.122197954194545,PTPN22
10000,402,1,1,0.12,0.4354,0.425680654291039,0.445119345708961,1.55007339820504,1.62895622895623,0.082089552238806,0.127155172413793,0.121747297992795,PTPN22
10000,402,1,1,0.13,0.4293,0.419596983695577,0.439003016304423,1.54354365657273,1.62895622895623,0.082089552238806,0.127155172413793,0.121296641791045,PTPN22
10000,402,1,1,0.14,0.422,0.41231850277475,0.43168149722525,1.53702060925909,1.62895622895623,0.082089552238806,0.127155172413793,0.120845985589295,PTPN22
10000,402,1,1,0.15,0.4119,0.402251854010444,0.421548145989556,1.53050424597481,1.62895622895623,0.082089552238806,0.127155172413793,0.120395329387545,PTPN22
10000,402,1,1,0.16,0.3963,0.386711625136091,0.405888374863909,1.52399455645169,1.62895622895623,0.082089552238806,0.127155172413793,0.119944673185795,PTPN22
10000,402,1,1,0.17,0.3918,0.382230752125399,0.401369247874601,1.51749153044253,1.62895622895623,0.082089552238806,0.127155172413793,0.119494016984045,PTPN22
10000,402,1,1,0.18,0.3896,0.380040413281245,0.399159586718755,1.51099515772111,1.62895622895623,0.082089552238806,0.127155172413793,0.119043360782295,PTPN22
10000,402,1,1,0.19,0.3825,0.372972990871572,0.392027009128428,1.5045054280821,1.62895622895623,0.082089552238806,0.127155172413793,0.118592704580546,PTPN22
10000,402,1,1,0.2,0.3732,0.363718922598739,0.382681077401261,1.49802233134107,1.62895622895623,0.082089552238806,0.127155172413793,0.118142048378796,PTPN22
10000,402,1,1,0.21,0.3666,0.357153789037435,0.376046210962565,1.49154585733437,1.62895622895623,0.082089552238806,0.127155172413793,0.117691392177046,PTPN22
10000,402,1,1,0.22,0.3543,0.34492387583355,0.36367612416645,1.48507599591911,1.62895622895623,0.082089552238806,0.127155172413793,0.117240735975296,PTPN22
10000,402,1,1,0.23,0.3501,0.340749352086753,0.359450647913248,1.4786127369731,1.62895622895623,0.082089552238806,0.127155172413793,0.116790079773546,PTPN22
10000,402,1,1,0.24,0.3415,0.332204010504555,0.350795989495445,1.47215607039481,1.62895622895623,0.082089552238806,0.127155172413793,0.116339423571796,PTPN22
10000,402,1,1,0.25,0.3334,0.324158598625146,0.342641401374854,1.46570598610329,1.62895622895623,0.082089552238806,0.127155172413793,0.115888767370046,PTPN22
10000,402,1,1,0.26,0.3229,0.313733937588083,0.332066062411917,1.45926247403814,1.62895622895623,0.082089552238806,0.127155172413793,0.115438111168296,PTPN22
10000,402,1,1,0.27,0.3174,0.308275501926734,0.326524498073267,1.45282552415947,1.62895622895623,0.082089552238806,0.127155172413793,0.114987454966547,PTPN22
10000,402,1,1,0.28,0.3127,0.303612184672457,0.321787815327543,1.44639512644779,1.62895622895623,0.082089552238806,0.127155172413793,0.114536798764797,PTPN22
10000,402,1,1,0.29,0.3074,0.298354854530872,0.316445145469128,1.43997127090403,1.62895622895623,0.082089552238806,0.127155172413793,0.114086142563047,PTPN22
10000,402,1,1,0.3,0.2993,0.290322781458138,0.308277218541862,1.43355394754944,1.62895622895623,0.082089552238806,0.127155172413793,0.113635486361297,PTPN22
10000,402,1,1,0.31,0.2908,0.281897664750244,0.299702335249756,1.42714314642557,1.62895622895623,0.082089552238806,0.127155172413793,0.113184830159547,PTPN22
10000,402,1,1,0.32,0.2818,0.27298107649809,0.29061892350191,1.42073885759417,1.62895622895623,0.082089552238806,0.127155172413793,0.112734173957797,PTPN22
10000,402,1,1,0.33,0.2797,0.270901162011046,0.288498837988954,1.41434107113722,1.62895622895623,0.082089552238806,0.127155172413793,0.112283517756047,PTPN22
